City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
195,Havre-Saint-Pierre,CA,50.2334,-63.5986,33.8,86,90,10.36
196,Mumford,GH,5.2618,-0.759,80.91,85,0,11.39
197,Karaton,ID,-6.3424,106.1045,80.6,78,75,12.66
198,Pitea,SE,65.3172,21.4794,15.8,86,90,9.22
199,Salgueiro,BR,-8.0742,-39.1192,88.86,31,89,7.2
200,Beloha,MG,-25.1667,45.05,76.17,89,88,3.13
201,Wagar,SD,16.1525,36.2032,63.25,29,0,12.91
202,Maltahohe,NA,-24.8333,16.9833,81.84,22,3,8.03
203,Nicoya,CR,10.1483,-85.452,93.2,40,0,8.05
204,Camana,PE,-16.6228,-72.7111,73.51,68,85,5.93
205,Vengerovo,RU,55.6848,76.7471,25.56,98,100,8.08
206,Samana,DO,19.2056,-69.3369,82.4,83,20,6.91
207,Moro,PK,26.6646,68.0016,55.4,82,0,1.99
208,Cidreira,BR,-30.1811,-50.2056,72.12,66,29,17.0
209,Kolyvan,RU,55.3053,82.7391,21.2,93,90,8.95
210,Tarma,PE,-11.4197,-75.6908,60.85,55,88,9.26
211,Mao,ES,39.8885,4.2658,60.8,63,0,16.11
212,Kopavogur,IS,64.1123,-21.913,35.6,64,0,10.36
213,Novoagansk,RU,61.9449,76.6625,8.2,95,100,9.15
214,Lahij,YE,13.1667,44.5833,67.75,70,0,6.26
215,Eyl,SO,7.9803,49.8164,72.39,78,9,11.92
216,Luena,AO,-11.7833,19.9167,63.57,93,73,2.64
217,Lekoni,GA,-1.5843,14.2591,82.22,58,92,2.84
218,Goderich,CA,43.7501,-81.7165,21.2,79,100,23.02
219,Constantine,DZ,36.365,6.6147,57.2,38,0,10.36
220,Necochea,AR,-38.5473,-58.7368,82.71,24,0,6.42
221,Mehamn,NO,71.0357,27.8492,32.0,93,90,10.36
222,Arroyo,ES,41.6096,-4.7969,51.01,93,0,11.5
223,Corinto,GR,37.9407,22.9573,57.0,87,0,2.68
224,Strai,NO,58.2,7.9,23.0,79,67,16.11
225,Valparaiso,CL,-33.0393,-71.6273,66.2,77,20,4.61
226,Irbil,IQ,36.1926,44.0106,51.8,100,90,5.75
227,Kuytun,RU,54.3419,101.5036,-1.48,91,86,2.3
228,Prizren,XK,42.2139,20.7397,39.2,87,0,1.14
229,Flekkefjord,NO,58.2971,6.6607,23.0,73,0,16.04
230,Ustye,RU,59.6304,39.736,-1.25,91,100,9.06
231,Paita,PE,-5.0892,-81.1144,84.2,54,0,11.5
232,Buchanan,LR,5.8808,-10.0467,78.8,89,20,8.03
233,Zakharovo,RU,54.366,39.2792,3.87,94,86,10.45
234,Rawson,AR,-43.3002,-65.1023,67.77,72,3,32.01
235,Concarneau,FR,47.875,-3.9225,42.8,87,0,4.61
236,Mehriz,IR,31.5917,54.4318,53.6,20,0,4.61
237,Staunton,US,38.1496,-79.0717,48.2,29,1,8.05
238,Gogrial,SS,8.5332,28.1004,76.48,18,6,9.84
